approach,nx,ny,iterations,n_threads,n_workers,runtime_seconds
sequential,50,50,100,,,0.000925
parallel_threads,50,50,100,1,,0.006330
parallel_threads,50,50,100,2,,0.010696
parallel_threads,50,50,100,4,,0.017067
distributed_sockets,50,50,100,,1,0.022332
distributed_sockets,50,50,100,,2,0.016998
sequential,100,100,100,,,0.002372
parallel_threads,100,100,100,1,,0.008692
parallel_threads,100,100,100,2,,0.012917
parallel_threads,100,100,100,4,,0.021097
distributed_sockets,100,100,100,,1,0.039690
distributed_sockets,100,100,100,,2,0.031432
sequential,200,200,100,,,0.034443
parallel_threads,200,200,100,1,,0.048733
parallel_threads,200,200,100,2,,0.053379
parallel_threads,200,200,100,4,,0.057484
distributed_sockets,200,200,100,,1,0.201914
distributed_sockets,200,200,100,,2,0.059247
