approach,nx,ny,iterations,n_threads,n_workers,runtime_seconds
sequential,400,400,200,,,0.338561
parallel_threads,400,400,200,1,,0.360094
parallel_threads,400,400,200,2,,0.334579
parallel_threads,400,400,200,4,,0.269793
distributed_sockets,400,400,200,,1,1.405030
distributed_sockets,400,400,200,,2,1.215480
distributed_sockets,400,400,200,,4,0.850298
sequential,800,800,200,,,1.567302
parallel_threads,800,800,200,1,,1.635721
parallel_threads,800,800,200,2,,1.135940
parallel_threads,800,800,200,4,,0.907638
distributed_sockets,800,800,200,,1,4.396430
distributed_sockets,800,800,200,,2,3.112788
distributed_sockets,800,800,200,,4,2.872709
